Marca;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
TOYOTA;7696;5242;6867;6099;7467;7557;8453;8084;6734;7366;8438;5377;10341;5964;8684;7475;8087;8824;9488;9030;5564;7990;7980;4165;4435;4755;6141;7648;8349;6544;9611;8563;7976;8919;7283;4550;10473;6823;8018;9760;9410;8246;10080;9726;8987;7718;4491;3357;895
VOLKSWAGEN;3718;2675;3144;3900;4672;4916;5202;5047;4361;4306;3944;2335;6183;3343;4438;3734;4602;4669;5455;4547;4909;6147;5890;3198;4699;3759;3606;4249;5226;5112;7196;7209;7993;7622;5918;3351;11855;7679;8234;9171;8928;8206;9152;8784;8125;7428;5252;3574;777
FIAT;8204;5067;5043;4413;4833;5005;5193;4743;4412;3821;3355;1591;7868;4629;5459;4166;4994;4376;4918;4592;5033;4898;3395;1224;5220;3321;3296;3993;3526;3219;3900;4392;5174;5657;4012;1619;9384;6231;6167;6257;7468;7276;8352;6005;6216;5534;3724;2144;799
RENAULT;3934;2804;3489;3122;3299;3804;4039;4398;4642;4345;4433;2381;4195;2863;4630;4142;4631;4673;5014;4941;4318;5017;4572;2773;3647;2319;2275;2334;2773;2829;3467;3397;3424;3607;3060;2481;6262;4462;5003;5163;5444;5268;6349;4929;5373;4807;3598;2359;373
PEUGEOT;5351;2711;3177;2821;2503;2254;3788;3907;2977;2417;2543;1212;4466;3388;4203;3910;4393;4809;4607;3199;2542;3217;2047;1112;3840;2238;2277;2897;2830;2343;3570;3564;4709;3830;3512;1498;8267;4427;3407;4241;4266;4335;4780;3833;4002;4139;2762;1453;431
FORD;2522;2102;2702;2370;2657;1913;2088;2437;2651;2356;2383;1564;4566;2642;3243;2823;2812;2516;3476;3415;3390;3887;3162;1616;3213;2250;1961;2582;2674;2992;4278;3608;3653;3460;3129;1823;5474;2413;3903;4378;4436;3408;4902;4621;5333;5087;3246;2307;556
CHEVROLET;2825;1814;2460;2558;3060;3113;3013;2380;2010;2089;2382;1494;4142;2174;2655;2310;2850;2512;3066;3292;2146;2435;2075;961;2293;1278;1055;2166;2655;1799;2388;2275;2050;2076;2022;1543;3756;2928;3202;4175;4107;4424;5310;4295;4710;4245;3001;2191;539
CITROEN;2058;1282;1323;1020;858;1367;1342;1478;960;861;848;441;1668;852;860;769;1441;1216;1516;499;661;1479;890;400;1309;819;819;1295;1250;1190;1626;1262;1425;1619;1230;496;3113;2117;2207;2327;2140;2031;2492;1569;2091;2016;1405;794;224
NISSAN;1854;1132;1468;1136;1177;1160;1247;1304;1440;1357;1172;790;1641;945;1701;1562;1666;1738;2056;1616;1626;2238;1803;890;1075;873;928;1426;1075;1025;1164;1219;1210;1115;938;789;1424;1047;1054;1043;1353;1546;1611;1788;1709;1416;650;634;73
JEEP;1373;904;1095;717;886;585;692;778;944;422;1062;482;1260;753;632;889;900;1192;745;225;298;1170;644;257;1335;1086;933;1057;834;862;1205;1289;1329;1587;981;429;2507;1261;1867;1967;2120;2122;2485;1846;2210;1823;1220;563;195
MERCEDES BENZ;1111;891;1024;1060;1155;988;988;946;999;906;928;380;1250;778;836;752;1132;1152;1266;1393;1002;1117;1109;597;1069;657;568;862;918;857;1354;1412;1298;1279;963;770;1709;1151;1079;1207;1269;1116;1481;1567;1527;1510;1010;726;201
IVECO;416;376;451;511;553;555;657;637;615;533;566;357;704;440;468;508;643;541;497;673;538;563;595;269;341;271;295;326;443;371;593;505;452;562;489;381;665;416;441;593;654;473;510;511;382;411;263;275;41
RAM;184;102;90;77;83;70;38;12;10;11;9;10;64;20;21;15;13;12;12;7;8;22;45;19;172;223;238;352;342;271;413;375;452;399;366;139;773;430;458;486;506;466;468;446;424;420;245;134;56
HONDA;139;108;63;96;92;82;112;103;92;87;88;58;123;114;132;101;77;79;87;58;56;90;74;76;104;58;126;233;196;177;302;260;296;289;195;132;438;314;358;429;357;223;326;265;229;291;177;136;30
SCANIA;167;142;123;138;124;142;173;182;168;146;122;78;160;129;123;122;119;109;118;142;85;104;91;29;72;33;42;57;89;60;83;99;129;185;111;100;240;225;218;297;292;262;312;360;345;340;199;180;42
HYUNDAI;85;72;69;79;82;78;27;44;33;41;22;11;37;16;45;59;33;47;51;69;45;34;33;22;50;40;69;51;93;33;34;55;70;108;88;107;381;384;375;369;408;512;615;564;581;531;308;380;46
BAIC;10;8;22;18;21;8;7;5;13;11;9;6;21;17;16;18;22;18;17;42;31;13;8;4;9;16;39;56;81;34;59;46;85;136;107;108;163;132;223;346;284;171;257;391;525;991;717;379;122
AUDI;29;14;18;36;39;37;55;93;60;40;33;46;74;78;69;73;128;111;144;132;95;98;103;44;53;49;127;110;118;100;112;127;162;177;142;71;294;182;203;225;219;202;289;232;246;221;157;104;45
HERMANN;90;113;173;129;117;141;127;122;162;132;132;68;104;115;113;133;157;119;113;131;109;83;132;44;65;83;113;174;95;112;131;120;107;93;96;70;75;97;138;117;122;104;121;116;133;121;89;59;6
