Modelo;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
FIAT CRONOS;6124;4112;4081;3007;2840;2442;3034;3179;3002;2853;2721;1379;7118;4069;4342;3541;3804;3483;4256;4253;4528;3965;3111;1110;4768;2756;2156;2175;1980;2075;2848;2048;2188;2493;1772;774;4318;3014;2676;2474;3163;2906;3136;2246;2090;1854;1294;737;264
PEUGEOT 208;3232;1811;2252;2094;1769;1363;2792;2962;2497;1915;2006;960;3899;2950;3606;3443;3736;4159;3896;2709;2282;2981;1834;961;3490;1911;1990;2536;2474;2023;3205;2707;3081;2506;2606;1158;5352;2905;2349;2769;2857;2343;2463;1871;1746;2253;1404;781;208
TOYOTA HILUX;2358;1623;2167;1872;1964;2147;2418;2077;2171;1799;2308;1735;2904;1888;2605;2389;2828;2601;2976;2778;2505;2395;2497;2343;2082;1393;1467;2134;2573;2328;3459;3293;3199;2980;2479;1609;3431;2483;2766;3418;2821;2239;2545;2380;2507;2538;1835;1811;306
VOLKSWAGEN AMAROK;2105;1601;1708;1325;1813;1845;2160;1978;1899;1883;1836;1100;2976;1652;1969;2189;2876;2475;2584;2639;2963;2923;2837;1711;2195;1205;895;1069;1497;1348;1488;1459;2248;2264;1898;826;3678;2109;1816;2093;2081;1883;2363;2370;2026;1624;935;636;164
FORD RANGER;1147;864;1274;1275;838;639;935;1366;1354;1222;1298;989;2753;1560;2003;1884;1646;1367;2149;2849;2720;2233;1956;1124;2049;1410;1340;1876;1920;1826;2874;2353;2186;1957;1835;1379;3682;1699;2035;2141;2149;2126;2470;2181;2230;2042;1258;969;202
TOYOTA YARIS;913;551;748;882;1381;1587;1541;1659;1424;1519;1424;688;1291;564;1119;1014;818;997;1154;1109;448;1070;1287;281;828;1221;1838;2189;2313;1474;2148;1822;1728;2301;1856;1149;2041;1690;2491;3024;3486;2815;3653;3787;3046;2263;1262;594;209
TOYOTA COROLLA CROSS;1026;635;775;908;1052;1086;1232;1246;1096;1374;1423;838;1547;702;963;902;981;1308;1287;1078;433;975;917;257;397;771;1084;1402;1626;1214;1777;1675;1322;1785;1501;867;2652;1202;1346;1384;1532;1817;2221;2012;1698;1343;555;389;200
VOLKSWAGEN POLO;67;23;202;191;523;687;1085;1021;927;1144;665;373;1443;520;570;565;412;533;782;414;316;1047;613;180;571;745;799;852;970;973;1685;2379;2863;2085;1052;934;2450;1154;1738;2110;2243;2344;2402;2116;1507;1465;995;802;129
VOLKSWAGEN TAOS;678;447;584;523;682;927;956;1013;800;629;798;413;1141;707;1086;563;668;707;1276;1163;1239;1055;1100;752;1345;932;754;753;1046;1198;1942;1322;1255;1210;984;451;2014;1680;1863;1829;1608;1330;1446;1386;1274;1144;634;317;72
CHEVROLET TRACKER;362;156;412;389;257;491;458;353;315;266;446;326;1585;817;1013;628;942;812;1048;1533;1190;1319;936;542;1362;695;482;1213;1131;664;895;761;829;888;1260;775;2023;1283;1437;1702;1486;1661;1727;1491;1773;1536;908;623;229
