Marca;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
TOYOTA;334;189;204;231;287;260;262;289;265;276;265;152;387;258;305;277;281;308;316;311;206;326;356;199;370;210;296;352;396;290;388;307;273;347;316;107;355;291;308;373;362;326;386;419;359;326;169;73;68
FIAT;320;150;179;154;166;204;193;181;162;140;178;46;330;213;230;146;170;170;190;186;194;193;113;56;253;145;183;200;146;117;128;201;295;258;215;62;450;328;283;304;435;544;509;314;379;393;201;118;60
VOLKSWAGEN;133;73;112;124;156;153;159;164;147;162;121;65;191;101;158;126;167;147;169;151;157;198;204;106;141;122;124;142;227;194;255;227;279;262;176;137;385;278;286;334;332;310;326;344;349;318;268;120;39
FORD;71;76;66;89;105;74;85;85;86;97;75;51;176;121;128;132;127;99;134;150;107;181;144;95;168;119;145;140;141;159;315;191;172;143;140;83;306;122;226;227;242;160;239;247;267;223;130;90;61
PEUGEOT;191;119;108;114;96;85;132;152;92;86;78;54;141;118;120;117;151;158;141;124;96;94;71;37;132;88;88;115;105;75;112;108;175;140;133;63;323;185;193;175;193;171;193;170;171;161;126;74;35
RENAULT;85;53;75;64;69;87;85;108;92;98;119;38;65;60;95;124;83;80;99;113;97;87;86;43;70;66;73;59;70;74;81;138;124;75;56;46;122;109;129;107;156;134;162;129;159;146;135;70;12
CHEVROLET;113;59;80;92;85;95;111;92;54;57;94;59;160;80;93;79;93;107;91;120;93;80;54;21;65;30;39;65;111;61;80;95;109;62;59;40;134;103;101;138;148;180;163;157;169;142;68;55;53
NISSAN;119;43;130;109;61;47;72;66;69;67;56;60;61;40;97;117;102;98;121;75;66;73;97;43;58;48;38;43;40;37;45;48;40;50;72;40;88;49;42;37;92;57;83;74;81;108;23;25;11
CITROEN;51;39;42;41;20;51;44;53;29;39;39;16;67;22;27;33;48;45;63;12;24;67;33;13;59;31;39;64;59;60;54;41;59;65;49;13;119;94;93;119;91;82;160;88;139;117;88;42;8
MERCEDES BENZ;42;52;47;49;64;41;46;42;46;53;40;8;69;42;17;24;42;57;65;52;45;60;41;19;37;45;23;36;47;60;46;54;56;60;34;23;87;55;69;76;65;68;105;83;67;93;40;43;9
JEEP;35;20;22;21;21;7;10;13;25;10;24;8;26;22;11;17;21;24;13;4;9;27;17;2;36;32;24;20;16;18;34;36;39;39;23;5;63;37;43;35;55;54;66;52;53;36;40;16;3
IVECO;24;28;17;23;25;18;23;30;24;18;22;20;31;25;23;21;30;14;33;28;37;31;28;12;14;11;12;11;20;17;34;27;24;27;20;18;33;27;23;27;30;40;33;17;13;32;26;15;1
SCANIA;4;6;5;17;7;12;8;10;6;7;3;2;2;6;7;5;5;1;9;4;2;4;6;;1;;;7;27;3;;5;3;9;14;6;10;9;10;12;19;18;22;23;18;17;9;20;4
